,Unnamed: 0,TestItem,Frequency,DataRate,Bandwidth,Antenna,RxPower,Per,TestTime,PER_result
39,93,93. WIFI_RX_VERIFY_PER,5775,VHT-MCS7,80,4,-68.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.80sec,pass
40,94,94. WIFI_RX_VERIFY_PER,5570,HE_SU-MCS11,160,1,-52.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.87sec,pass
41,95,95. WIFI_RX_VERIFY_PER,5570,HE_SU-MCS11,160,2,-52.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.78sec,pass
42,96,96. WIFI_RX_VERIFY_PER,5570,HE_SU-MCS11,160,3,-52.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.77sec,pass
43,97,97. WIFI_RX_VERIFY_PER,5570,HE_SU-MCS11,160,4,-52.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.77sec,pass
44,98,98. WIFI_RX_VERIFY_PER,5230,HT_MF-MCS4,40,1,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.97sec,pass
45,99,99. WIFI_RX_VERIFY_PER,5230,HT_MF-MCS4,40,2,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.83sec,pass
46,100,100. WIFI_RX_VERIFY_PER,5230,HT_MF-MCS4,40,3,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.81sec,pass
47,101,101. WIFI_RX_VERIFY_PER,5230,HT_MF-MCS4,40,4,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.81sec,pass
48,102,102. WIFI_RX_VERIFY_PER,5500,HE_SU-MCS0,20,1,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.53sec,pass
49,103,103. WIFI_RX_VERIFY_PER,5500,HE_SU-MCS0,20,2,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.31sec,pass
50,104,104. WIFI_RX_VERIFY_PER,5500,HE_SU-MCS0,20,3,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.33sec,pass
51,105,105. WIFI_RX_VERIFY_PER,5500,HE_SU-MCS0,20,4,-35.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.33sec,pass
